Target: FINCH

Observer: NapaneeImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
03 Nov 2024 16:06:49.292    03 Nov 2024 16:08:10.359      81.066254305    
04 Nov 2024 02:50:01.976    04 Nov 2024 02:50:41.902      39.926372969    
04 Nov 2024 15:55:31.366    04 Nov 2024 15:56:41.203      69.836732384    
10 Nov 2024 03:15:14.032    10 Nov 2024 03:16:25.086      71.054093074    
11 Nov 2024 03:03:30.534    11 Nov 2024 03:05:01.005      90.470530267    
11 Nov 2024 16:09:11.057    11 Nov 2024 16:10:26.323      75.266105973    
12 Nov 2024 02:52:13.723    12 Nov 2024 02:53:09.101      55.377655837    
12 Nov 2024 15:57:34.559    12 Nov 2024 15:58:49.095      74.536521756    
18 Nov 2024 03:16:17.702    18 Nov 2024 03:17:18.862      61.160831759    
19 Nov 2024 03:04:17.857    19 Nov 2024 03:05:44.836      86.978700547    
19 Nov 2024 16:09:45.153    19 Nov 2024 16:10:59.010      73.857146606    
20 Nov 2024 02:52:47.063    20 Nov 2024 02:53:40.947      53.884484747    
20 Nov 2024 15:57:54.955    20 Nov 2024 15:59:10.648      75.692615868    
26 Nov 2024 03:15:35.862    26 Nov 2024 03:16:36.289      60.426863388    
27 Nov 2024 03:03:25.700    27 Nov 2024 03:04:49.088      83.387999469    
27 Nov 2024 16:08:40.813    27 Nov 2024 16:09:58.736      77.922980895    
28 Nov 2024 02:51:48.510    28 Nov 2024 02:52:28.510      40.000478004    
28 Nov 2024 15:56:41.999    28 Nov 2024 15:57:56.675      74.675954401    
04 Dec 2024 03:13:19.795    04 Dec 2024 03:14:27.324      67.528561188    
04 Dec 2024 16:18:48.931    04 Dec 2024 16:19:12.946      24.015948304    
05 Dec 2024 03:01:05.130    05 Dec 2024 03:02:24.091      78.961592366    
05 Dec 2024 16:06:10.570    05 Dec 2024 16:07:35.134      84.564098879    
06 Dec 2024 15:54:07.819    06 Dec 2024 15:55:17.012      69.192592346    
12 Dec 2024 03:09:42.694    12 Dec 2024 03:10:59.216      76.521717687    
12 Dec 2024 16:14:56.694    12 Dec 2024 16:15:59.442      62.747937790    
13 Dec 2024 02:57:28.023    13 Dec 2024 02:58:38.146      70.123502542    
13 Dec 2024 16:02:26.159    13 Dec 2024 16:03:55.510      89.351332770    
