DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.EarthMJ2000Eq.Y,DefaultSC.EarthMJ2000Eq.Z
29001.76764071957,-4482.584717360902,-5010.735673790159,1425.332123060274
29001.76871567771,-4431.802956915592,-4814.145120094259,2104.953527311234
29001.76979111018,-4334.056077401099,-4566.474866647707,2762.51622070427
29001.77086719394,-4190.34244486226,-4270.284752378583,3391.133903468224
29001.77194411652,-4002.127835941175,-3928.627453711675,3984.218279401458
29001.77274115602,-3835.42959860314,-3648.774795083869,4396.276414523505
29001.77298327026,-3780.345446156835,-3559.502085091155,4516.496073000165
29001.77311809686,-3748.793107533043,-3508.961075203077,4582.398054373572
29001.77328993503,-3707.679898026706,-3443.704551183029,4665.286244039701
29001.77387266134,-3560.903477793655,-3215.621714485211,4936.874152083386
29001.77488043255,-3281.389382437042,-2798.154258477293,5370.017879598178
29001.7759533452,-2950.634831658495,-2325.452391772538,5776.528906366175
29001.7770350221,-2586.054670938194,-1824.364761210936,6125.233098430822
29001.77811893152,-2193.303248843309,-1302.90044339893,6409.529518216405
29001.77920433546,-1776.735500485424,-766.8910881226713,6626.011637000702
29001.78029114061,-1340.768516290733,-222.0487452749514,6772.236739265862
29001.78137927733,-890.0299747757737,325.8187356467686,6846.527340082632
29001.78246869273,-429.3083174418891,870.8687156489268,6847.981695560527
29001.78355927446,36.46725714816351,1407.249715977335,6776.485252890253
29001.78465095046,502.3224569261087,1929.215420454049,6632.715055204089
29001.78574360164,963.2556205861723,2431.145512234396,6418.139068791258
29001.78683710308,1414.310850346466,2907.629580996773,6135.003286267712
29001.78793133466,1850.637788597033,3353.532467912077,5786.304987303694
29001.78902619179,2267.54935784516,3764.05477798188,5375.753881835627
29001.79012155889,2660.563016776225,4134.775092278072,4907.739143167902
29001.79121732566,3025.456907392452,4461.705674150467,4387.275919158856
29001.79231341632,3358.324589092288,4741.342730964093,3819.933025354245
29001.79340975423,3655.603765431496,4970.690915312014,3211.785467820997
29001.79450626357,3914.11565520651,5147.296585335618,2569.347890731228
29001.79560289201,4131.103647250031,5269.276533799674,1899.489675573601
29001.79669957798,4304.254231239076,5335.331581317359,1209.37901388896
29001.79779629668,4431.728266897316,5344.762313890865,506.3768175363096
29001.79889302294,4512.171071541009,5297.469785860959,-202.0195354527835
29001.79998973419,4544.72687093055,5193.956418669138,-908.2571456790389
29001.80108641088,4529.047286442299,5035.320066691343,-1604.807427614414
29001.80218302831,4465.295025351176,4823.243567507527,-2284.240171690739
29001.80327956646,4354.14210433309,4559.975743899377,-2939.307940540735
29001.80437596409,4196.769346766377,4248.320769751699,-3562.996364107696
29001.80547223337,3994.838969275307,3891.577640840168,-4148.664180028959
29001.80656830497,3750.500020915295,3493.550066285474,-4690.026406747717
29001.8076641291,3466.353310120149,3058.479661300054,-5181.2805043769
29001.80875963681,3145.4321201985,2591.014445957111,-5617.149863441917
29001.80985474095,2791.172665918591,2096.161471767402,-5992.945832598958
29001.81094936561,2407.368963666057,1579.220640701704,-6304.631514891298
29001.81204340371,1998.146694142607,1045.747216328819,-6548.854637610202
29001.81313674012,1567.912419380325,501.4817332368367,-6722.997458023322
29001.81422928006,1121.293781034777,-47.72760478143141,-6825.210887828223
29001.81478163749,890.6421146428896,-325.5659439820872,-6849.150579334065
29001.81495027811,819.7080119832016,-410.2507565060265,-6852.72491909718
29001.81505743178,774.5271382801301,-464.0062710698498,-6854.086845676229
29001.81516140338,730.6118031600148,-516.1198727581881,-6854.732664616626
29001.8154960465,588.80691096822,-683.4880662254338,-6852.291524129791
29001.81644874581,182.3466592227053,-1155.647921223428,-6807.595081370526
29001.81752150837,-276.9457567575952,-1675.850495216552,-6690.739052843832
29001.81860785239,-739.1091746968441,-2184.941713600971,-6501.659084717511
29001.81969457279,-1193.564962090265,-2670.958059054491,-6243.141954568234
29001.82078011453,-1634.817064766028,-3128.00498043967,-5918.238254399746
29001.82186427973,-2058.104283584907,-3551.170590535716,-5530.562014482154
29001.82294704884,-2458.943184267474,-3935.998870625573,-5084.361536663069
29001.8240284461,-2833.1170047054,-4278.470464092968,-4584.488871184533
29001.82510852278,-3176.711466350292,-4575.034229974166,-4036.345548814424
29001.82618735693,-3486.153207395123,-4822.640037077666,-3445.819008730066
29001.82726506899,-3758.247388671216,-5018.767875032534,-2819.205553103433
29001.82834179952,-3990.19935090998,-5161.441742231938,-2163.15148020483
29001.82941764317,-4179.629251981263,-5249.241215380752,-1484.624000765648
29001.83049293456,-4324.638347314108,-5281.32871536077,-790.6562116122326
29001.83156780206,-4423.745648399825,-5257.416694555338,-88.55637543496216
29001.83264246629,-4475.953836640848,-5177.793457406169,614.3521196742578
29001.83371712633,-4480.740592489237,-5043.312929337587,1310.731000489735
29001.83479201446,-4438.064300948934,-4855.379903910889,1993.33441024128
29001.83586733766,-4348.362481410234,-4615.941714396416,2655.041455696879
29001.83694329026,-4212.550290348077,-4327.47071669623,3288.934828571947
29001.8380202849,-4031.969972473884,-3992.865576762201,3888.494106265234
29001.83909805303,-3808.538079862117,-3615.711943504798,4447.167539629657
29001.83926670656,-3769.860178482109,-3553.122487452567,4530.463595507391
29001.83944051998,-3728.976459957287,-3487.654491064335,4615.075500347157
29001.8396009458,-3690.33057378468,-3426.376659075643,4692.040401506618
29001.84012988822,-3556.834311263599,-3218.727067817077,4937.894593740767
29001.84112920805,-3280.212976868345,-2804.507984889275,5367.510674853009
29001.84220109322,-2950.534532615457,-2332.06391501693,5774.009742116254
29001.84328267049,-2586.773546823769,-1830.771200987921,6123.121796103519
29001.84436658963,-2194.800639399323,-1308.984287070149,6407.889062107422
29001.84545202776,-1778.987637947317,-772.575527145243,6624.865892530401
29001.84653886164,-1343.754473493367,-227.2755892396028,6771.596921535682
29001.84762704799,-893.7101963883061,321.1160729022708,6846.401611223218
29001.84871651393,-433.6437394337846,866.7411812721476,6848.369435612924
29001.84980715158,31.52461704837396,1403.74416675584,6777.379866692833
29001.85089887697,496.822007794302,1926.366143156102,6634.105473991659
29001.85199157733,957.255476691465,2428.982787724791,6420.0086924786
29001.85308512489,1407.873340613682,2906.174939369669,6137.331087991816
29001.85417939488,1843.828198395643,3352.798008961162,5789.066962354802
29001.85527429121,2260.440407001142,3764.048338259405,5378.918984106297
29001.85636968679,2653.226415645904,4135.492534709508,4911.276771035065
29001.85746547245,3017.967713271084,4463.13623439089,4391.152165202522
29001.85856157199,3350.75986709038,4743.468677145764,3824.111546534235
29001.85965789341,3648.038093315577,4973.485132689976,3216.236293916234
29001.86075437944,3906.629939499635,5150.730569828768,2574.029125008633
29001.86185097565,4123.77798926048,5273.315424666898,1904.358358899025
29001.86294763634,4297.169888844016,5339.935623709939,1214.38021091541
29001.86404432672,4424.961711677664,5349.884496239271,511.4600396691959
29001.86514101553,4505.795035385174,5303.058147389678,-196.9018511975653
29001.86623769133,4538.810789063945,5199.953801727175,-903.160290153882
